Building,Room,Printer name,Campus,lat,lng
SPEA,A209,BL_STC_SPEA_PVA209_MFP2,Bloomington,39.1725608,-86.5177669
Spruce Hall,113,BL_STC_RA113_MFP1,Bloomington,39.16550160000001,-86.51196999999999
Student Building (Frances Morgan Swain),222,BL_STC_SB222_MFP1,Bloomington,39.1671346,-86.5255695
Student Building (Frances Morgan Swain),210,BL_UPRN_SB210_MFP1,Bloomington,39.1671346,-86.5255695
Student Recreational Sports Center,115,BL_UPRN_RB115_MFP1,Bloomington,39.1735239,-86.51240229999999
Swain West,118,BL_STC_SW118_MFP1,Bloomington,39.1647452,-86.52512779999999
Swain West,058A,BL_UPRN_SW058A_MFP1,Bloomington,39.1647452,-86.52512779999999
Swain West,207,BL_UPRN_SW207_MFP1,Bloomington,39.1647452,-86.52512779999999
Swain West,236,BL_UPRN_SW236_MFP1,Bloomington,39.1647452,-86.52512779999999
Swain West,261,BL_UPRN_SW261_MFP1,Bloomington,39.1647452,-86.52512779999999
Swain West,340,BL_UPRN_SW340_MFP1,Bloomington,39.1647452,-86.52512779999999
Teter Quad,F120,BL_STC_TEF120_MFP1,Bloomington,39.17049129999999,-86.51294089999999
Teter Quad,F138,BL_UPRN_TEF138_MFP1,Bloomington,39.17049129999999,-86.51294089999999
Teter Quad,F138,BL_UPRN_TEF138_MFP2,Bloomington,39.17049129999999,-86.51294089999999
The Health Sciences Building,C1000D,BL_STC_AHC1000D_MFP1,Bloomington,39.1772719,-86.50407919999999
The Health Sciences Building,C200A,BL_STC_AHC200A_MFP1,Bloomington,39.1772719,-86.50407919999999
The Health Sciences Building,C2122,BL_UPRN_AHC2122_BW1,Bloomington,39.1772719,-86.50407919999999
Tulip Tree Apartments,102,BL_STC_TT102_MFP,Bloomington,39.172494,-86.5043826
University Apartments East,20,BL_STC_UE020_MFP1,Bloomington,39.1645567,-86.5141968
Wells Library,100,BL_STC_LI100_MFP1,Bloomington,39.1710061,-86.51679969999999
Wells Library,112,BL_STC_LI112_MFP1,Bloomington,39.1710061,-86.51679969999999
Wells Library,137,BL_STC_LI137_MFP1,Bloomington,39.1710061,-86.51679969999999
Wells Library,199,BL_STC_LI199_MFP1,Bloomington,39.1710061,-86.51679969999999
Wells Library,199,BL_STC_LI199_MFP2,Bloomington,39.1710061,-86.51679969999999
Wells Library,201,BL_STC_LI201_MFP1,Bloomington,39.1710061,-86.51679969999999
Wells Library,201,BL_STC_LI201_MFP2,Bloomington,39.1710061,-86.51679969999999
Wells Library,401,BL_STC_LI401_MFP1,Bloomington,39.1710061,-86.51679969999999
Wells Library,401,BL_STC_LI401_MFP2,Bloomington,39.1710061,-86.51679969999999
Wells Library,502,BL_STC_LI502_MFP1,Bloomington,39.1710061,-86.51679969999999
Wells Library,305,BL_UPRN_LI305_MFP1,Bloomington,39.1710061,-86.51679969999999
Wendell W. Wright Education Building,5,BL_UPRN_ED0005_MFP1,Bloomington,39.1671809,-86.5124702
Wendell W. Wright Education Building,1020,BL_UPRN_ED1020_MFP1,Bloomington,39.1671809,-86.5124702
